main value [Voltage (V)],secondary value [Voltage (V)],main value [Current (A)],secondary value [Current (A)],main value [Temperature ],secondary value [Temperature]
7,680,44,998,41,1
9,56,2,479,3,605
7,877,6,691,16,71
9,212,6,689,2,938
8,524,75,194,5,901
771,272,6,4,9,790
8,547,5,825,5,808
7,657,7,696,26,650
9,357,7,301,49,862
8,487,32,761,29,953
8,591,344,677,6,71
88,912,26,896,11,730
87,48,7,112,4,249
9,357,6,785,15,697
7,951,504,58,37,109
9,233,7,612,49,324
8,336,7,426,5,285
9,295,5,444,13,49
8,262,7,729,1,412
8,449,33,565,5,439
79,292,2,639,18,609
8,974,38,979,2,233
933,349,3,722,6,124
7,621,7,79,6,63
7,923,2,806,8,350
882,393,5,877,43,168
8,213,5,702,6,415
8,532,28,713,5,689
7,758,6,926,41,588
8,399,23,907,4,481
838,787,34,704,3,827
8,304,5,164,5,530
9,327,47,284,4,808
795,524,7,329,17,429
9,244,2,281,1,542
9,50,7,623,5,372
7,809,6,916,5,887
8,835,40,887,40,113
86,448,4,72,29,464
8,738,3,934,27,172
7,630,3,30,4,938
8,753,23,412,19,242
7,774,33,573,16,370
8,816,7,331,5,532
8,387,41,623,21,780
8,421,4,429,3,978
8,859,37,212,26,886
8,174,503,247,613,923
8,133,343,929,22,159
8,620,5,242,3,69
9,224,44,872,31,148
7,529,33,302,17,258
7,994,4,917,882,926
8,188,3,324,941,724
8,967,7,677,4,363
9,305,28,750,4,236
8,811,42,27,4,757
7,865,45,549,18,545
7,665,49,832,13,562
7,528,3,212,35,522
8,102,5,399,29,675
8,778,6,527,15,478
7,790,28,759,35,730
8,669,5,5,4,900
8,738,44,10,5,62
8,592,6,168,44,936
8,6,5,546,153,121
7,845,7,712,35,301
8,26,3,672,3,443
8,959,378,410,20,917
8,747,6,82,20,638
9,79,3,225,3,604
7,573,29,662,15,864
9,70,6,965,5,238
7,681,3,32,9,494
8,955,5,974,36,739
7,846,6,294,4,955
7,567,6,443,15,329
874,926,23,193,3,951
8,454,2,379,4,763
8,391,32,142,33,620
8,703,5,605,6,149
8,203,41,681,28,494
7,803,22,701,38,79
8,604,4,841,31,451
9,485,35,812,3,620
914,388,5,255,23,519
8,158,5,221,42,253
7,553,46,407,5,220
915,322,7,44,41,896
885,191,40,881,5,799
8,662,2,797,5,973
7,938,3,308,32,508
9,148,769,567,3,863
8,168,7,355,16,449
8,194,5,271,47,396
8,181,5,642,5,296
8,309,29,550,6,181
8,208,6,239,591,429
8,830,4,302,3,340
7,867,5,972,5,771
944,130,2,393,11,951
8,260,7,420,4,988
7,622,692,160,6,62
9,409,46,559,1,714
8,909,7,435,6,268
8,885,7,387,31,764
9,241,4,892,5,865
83,439,6,741,6,291
7,601,40,200,5,567
7,964,7,762,5,283
9,87,45,170,38,704
9,339,6,20,4,878
8,43,725,559,3,820
7,592,47,500,2,826
8,395,2,577,4,782
8,855,7,598,4,175
9,312,6,591,3,192
879,767,6,104,5,977
8,329,4,704,27,868
9,131,5,797,29,667
8,602,22,573,7,752
9,114,5,775,25,843
7,822,6,945,46,627
7,562,6,816,2,203
8,20,39,966,5,196
8,871,5,436,10,972
9,248,7,241,15,199
8,587,7,399,17,302
773,733,5,80,633,225
8,636,32,445,13,791
802,709,33,944,5,343
8,387,6,619,5,679
8,545,5,290,183,385
8,418,647,813,4,472
8,239,41,495,45,330
8,961,5,160,13,80
9,476,7,376,48,652
9,480,6,380,26,59
8,140,35,7,47,47
7,892,24,726,7,610
900,833,6,23,3,641
788,552,2,621,4,673
8,329,5,815,22,369
8,228,26,116,5,497
868,789,47,682,2,849
8,889,7,200,596,711
8,267,392,693,219,121
7,704,5,205,14,903
9,39,5,166,2,849
9,80,6,174,41,297
8,844,5,522,7,783
8,862,7,448,44,880
931,759,5,156,45,875
9,366,3,467,4,899
940,683,4,778,4,527
8,393,4,276,262,62
7,859,7,274,13,284
9,462,31,877,18,864
818,127,3,65,901,381
8,621,5,906,2,29
7,847,746,715,2,482
8,710,5,492,34,354
8,879,26,489,329,723
8,572,6,464,2,66
807,351,7,426,1,845
8,455,357,410,4,367
7,958,6,658,1,98
8,10,3,115,3,412
8,227,24,553,3,407
8,512,7,496,4,674
9,284,5,52,42,469
7,840,2,732,18,420
871,204,3,262,32,46
7,993,7,771,24,736
9,303,43,200,1,832
821,761,7,123,26,329
7,584,24,419,46,484
9,71,6,613,47,754
8,153,6,838,21,95
9,271,35,214,5,411
8,380,6,633,5,553
8,314,3,540,5,972
8,2,3,717,2,897
8,351,5,467,6,22
7,714,6,656,13,894
7,567,5,934,5,113
8,434,34,462,15,371
8,970,3,677,2,146
813,855,33,828,5,45
8,145,3,545,5,737
9,483,38,67,5,171
7,889,38,326,5,116
9,238,6,578,6,51
852,300,2,721,2,35
8,672,4,397,516,101
903,653,7,178,38,643
7,795,7,442,31,87
8,0,4,238,5,109
7,762,31,935,50,562
7,679,41,326,46,258
8,816,5,232,13,143
8,985,6,733,3,367
7,883,45,837,30,447
8,938,6,86,44,584
799,448,35,94,3,813
8,196,567,616,3,131
8,687,3,641,4,284
842,454,7,555,5,479
8,86,7,353,2,812
7,510,46,379,5,268
8,388,754,734,1,160
8,444,2,388,29,120
7,850,23,361,30,309
7,874,5,349,5,771
7,852,29,190,5,88
8,463,44,113,4,599
8,208,35,554,48,854
7,993,7,567,1,476
7,989,6,371,3,899
9,248,36,434,40,674
785,471,7,340,566,564
8,269,7,220,24,946
9,106,4,19,33,249
8,584,5,996,37,633
845,521,46,654,4,580
8,444,4,223,41,418
882,562,6,370,42,580
8,351,28,102,2,642
840,40,4,513,6,228
9,217,45,854,5,665
9,163,5,555,4,604
7,998,6,601,39,497
9,381,39,501,6,347
7,649,5,777,16,963
8,532,7,274,46,371
761,749,6,408,6,136
8,17,6,536,10,291
8,253,2,924,1,979
8,555,3,992,5,899
8,514,4,173,5,971
7,921,732,10,10,418
8,977,3,557,9,594
8,742,7,472,7,144
8,992,7,596,5,845
932,692,31,10,4,587
7,590,3,14,5,114
877,281,5,202,6,351
7,758,7,98,243,447
7,766,5,541,6,405
7,645,5,552,5,150
9,33,7,474,49,319
9,332,6,26,8,355
833,394,5,99,5,70
9,427,36,878,2,559
8,709,6,807,5,188
9,119,4,518,5,853
9,225,2,965,42,461
9,183,357,626,5,67
7,783,23,326,1,639
7,577,37,320,5,239
8,905,45,511,3,751
8,213,6,279,6,264
8,318,32,150,2,980
9,412,5,677,4,847
9,215,7,14,6,281
8,206,6,897,6,284
7,555,6,217,4,478
9,44,7,34,611,929
7,701,3,881,934,551
895,540,24,950,2,984
8,742,5,68,2,71
9,423,31,774,4,94
8,161,3,255,4,430
7,983,4,151,2,749
9,438,3,183,7,450
7,700,5,155,8,774
806,786,5,469,522,111
9,245,5,635,5,288
8,11,2,563,6,52
9,439,23,27,47,313
8,951,5,439,11,647
8,98,5,391,20,17
7,762,5,448,7,319
8,431,4,517,578,922
8,115,7,146,3,500
8,26,6,664,3,424
8,653,39,791,361,128
8,732,7,416,17,170
9,112,751,524,6,110
8,80,2,990,5,844
8,478,6,919,5,66
8,136,4,182,514,344
8,253,7,95,1,171
8,124,7,118,10,702
8,708,2,638,46,201
7,849,24,999,8,752
7,507,281,916,5,799
8,702,3,831,3,861
7,928,654,372,5,244
8,997,5,41,548,749
8,786,4,265,1,808
8,758,43,772,11,864
7,782,7,264,11,363
7,944,5,124,6,152
8,936,7,631,41,152
8,969,6,418,19,677
7,730,29,857,37,245
8,469,7,361,19,731
7,990,4,888,38,611
7,966,7,250,2,266
8,9,4,525,35,559
8,311,5,123,5,925
7,603,531,344,49,309
8,920,6,401,5,537
8,164,5,73,8,932
7,820,7,323,37,380
8,991,5,285,42,956
7,724,47,768,5,555
8,521,7,353,11,195
7,865,626,88,32,724
899,709,3,78,6,99
9,82,5,927,2,830
9,63,6,701,636,121
8,600,49,947,520,788
8,116,24,804,2,487
8,510,6,941,38,131
7,510,3,815,22,505
8,970,7,567,5,648
7,694,5,78,2,195
8,451,3,444,5,440
915,676,3,511,48,185
8,942,3,473,5,724
802,824,6,870,5,766
7,663,6,545,4,56
7,855,6,810,19,882
753,369,6,599,604,424
7,940,6,76,28,463
7,830,48,468,40,592
7,711,6,221,5,788
7,816,7,315,16,968
8,602,6,541,401,745
8,410,7,446,4,921
8,724,5,663,13,10
8,635,5,677,5,798
8,391,6,381,3,566
8,687,5,936,7,847
8,351,3,619,6,265
7,935,2,795,42,528
7,845,4,807,12,377
9,239,5,73,34,87
8,952,5,604,5,549
7,963,5,182,2,816
848,516,48,190,6,120
7,955,4,454,35,828
7,933,3,560,2,456
8,48,3,390,5,493
8,298,5,877,5,895
7,659,5,310,28,528
8,923,6,808,1,96
7,687,6,707,11,580
8,693,6,529,270,223
8,166,6,683,5,238
8,391,6,974,5,526
8,920,4,538,5,419
8,960,4,83,22,153
7,571,3,213,2,819
9,357,7,161,570,978
9,324,7,219,38,487
7,571,3,854,1,507
8,326,626,846,2,597
7,743,38,475,45,949
8,992,4,913,639,116
7,766,3,301,4,372
7,763,5,849,2,352
8,782,532,292,10,656
7,798,4,837,3,448
8,563,4,233,308,402
915,811,26,822,4,520
9,202,7,306,17,498
8,517,7,330,639,422
7,513,7,349,17,60
9,366,37,581,989,474
8,901,4,706,6,298
9,93,7,97,45,439
7,729,2,659,21,13
8,718,3,406,5,994
9,22,3,901,45,480
7,696,7,284,2,901
7,861,225,185,5,745
9,433,3,888,39,81
8,953,3,428,25,951
9,353,6,795,3,924
8,831,22,361,5,0
7,737,31,853,22,741
9,330,42,369,30,486
8,254,5,533,45,676
8,702,772,459,5,396
8,10,7,644,8,489
7,529,5,669,4,805
8,256,29,808,44,352
8,894,6,839,5,668
9,429,49,924,2,848
7,587,6,127,17,694
9,297,3,785,3,884
8,679,5,786,5,226
8,286,5,821,22,325
8,443,7,649,5,28
7,725,6,954,6,401
7,799,7,127,5,239
7,786,7,137,19,362
9,278,596,512,39,812
7,977,7,263,1,686
7,937,4,721,2,749
7,943,6,944,45,4
8,342,386,321,41,17
8,456,4,695,31,875
7,840,271,149,6,142
8,979,5,369,261,714
7,567,5,207,12,906
7,822,45,250,5,964
7,893,5,772,20,880
8,750,2,837,4,466
7,530,7,378,6,111
8,5,7,9,12,85
868,90,5,734,3,603
9,0,7,736,6,6
7,980,28,17,571,780
9,391,24,396,2,313
915,344,7,312,39,561
7,548,452,853,11,647
9,403,5,423,4,627
8,334,6,818,43,164
9,487,7,764,4,688
8,935,7,300,5,257
8,952,3,594,4,709
8,83,3,693,3,971
803,11,296,68,29,860
9,386,47,732,2,809
9,374,777,313,4,970
8,228,397,450,14,316
9,399,5,148,32,610
7,593,5,771,37,905
7,747,6,60,5,224
9,436,23,835,16,105
7,977,2,568,340,232
7,819,5,476,1,169
8,170,5,880,5,19
9,2,2,292,4,685
8,529,7,181,18,52
8,408,7,469,12,353
7,906,5,142,519,694
9,206,38,890,4,427
8,127,4,980,11,897
7,905,728,757,21,685
7,920,5,878,6,424
8,644,7,342,5,691
881,492,37,629,30,865
865,494,28,268,368,219
871,313,5,174,3,726
7,851,678,450,3,414
8,646,5,380,40,511
8,360,6,436,13,220
8,680,3,617,6,413
873,485,4,87,23,647
8,444,5,924,5,741
7,715,31,843,3,926
7,621,6,933,40,999
7,620,4,550,1,208
8,6,44,884,34,25
7,935,5,401,25,164
8,260,31,745,5,841
8,418,7,655,19,309
8,722,2,492,35,981
8,172,58,95,5,647
9,355,7,632,5,805
9,421,5,360,5,60
7,805,7,155,23,775
9,411,49,46,3,510
7,714,6,601,6,161
8,667,4,941,33,142
9,132,2,649,37,40
9,323,5,33,2,963
9,43,5,827,49,703
7,716,6,757,3,894
7,746,2,317,5,514
9,293,6,898,17,570
7,890,687,727,6,350
7,769,3,492,5,725
8,997,46,695,14,881
8,680,6,654,44,108
9,11,34,888,26,405
8,780,712,978,3,665
8,754,4,517,3,312
8,562,6,689,34,332
8,837,6,867,40,369
9,364,5,331,33,898
8,978,22,949,505,673
8,675,4,64,1,22
7,621,2,829,40,767
7,530,35,320,34,659
9,275,7,755,5,54
8,314,6,375,5,776
8,233,5,628,2,592
8,632,4,956,8,853
9,18,6,807,2,730
881,626,6,365,6,267
7,633,5,517,2,919
8,109,5,82,883,454
8,848,7,5,640,705
901,678,6,13,3,800
7,568,6,306,12,449
8,455,22,497,23,625
8,935,3,785,5,509
9,424,7,237,6,397
7,628,7,725,17,472
9,13,5,845,1,872
8,930,41,273,4,689
7,643,727,708,5,793
8,455,4,145,3,812
8,432,4,248,4,216
9,211,41,930,48,407
8,76,5,65,39,936
7,982,7,11,3,852
8,319,7,131,2,812
887,211,658,866,45,533
8,946,45,388,5,47
8,961,6,377,520,249
8,136,4,954,4,231
8,74,6,461,3,683
872,87,5,224,41,340
8,154,2,241,10,977
9,498,30,205,5,941
9,38,30,372,21,632
8,673,3,983,22,73
8,769,47,681,17,468
7,964,6,321,3,654
8,559,6,217,240,700
8,46,35,335,41,668
8,496,25,102,5,368
8,264,24,724,5,939
7,689,5,736,9,510
8,283,4,316,119,373
8,38,7,83,600,221
8,486,7,639,11,464
7,712,6,639,5,924
7,583,704,128,5,992
9,152,4,713,4,109
8,501,22,585,49,557
7,910,5,978,43,231
930,855,7,579,32,227
9,348,36,234,35,752
7,545,5,406,6,84
8,943,42,285,6,33
9,363,29,464,47,304
9,227,46,130,4,523
8,123,3,124,6,53
7,533,23,516,2,224
8,646,45,312,12,89
7,505,3,978,2,775
781,713,3,252,2,983
9,257,7,106,3,256
8,13,6,663,583,363
8,979,4,218,2,956
7,748,5,608,11,146
8,888,6,901,19,157
9,457,46,116,5,70
7,599,5,865,23,200
8,972,4,188,41,471
8,634,474,346,886,275
8,890,436,702,18,715
8,615,7,608,40,725
8,720,23,120,2,760
8,543,5,739,5,205
8,800,7,202,243,209
7,937,5,599,5,86
7,535,25,712,4,134
7,830,533,255,3,993
8,366,6,873,19,140
7,921,5,143,5,478
9,132,3,539,2,727
9,380,22,901,7,711
880,160,35,497,4,266
8,127,45,253,4,465
9,145,4,910,49,52
9,364,2,764,2,864
7,557,6,439,3,571
8,242,2,364,3,517
8,632,48,307,6,246
9,406,7,60,640,611
881,891,39,428,5,628
8,314,30,8,16,477
9,426,5,199,44,487
9,474,2,604,12,54
7,819,5,906,4,694
7,697,47,279,4,745
7,736,5,443,40,183
9,371,47,253,3,432
9,146,30,736,43,893
8,16,5,386,24,923
9,489,46,26,350,274
8,877,6,987,6,232
8,283,5,726,23,895
9,97,6,269,3,792
8,279,22,702,5,887
8,933,5,335,5,508
7,502,616,89,3,58
847,296,6,426,5,274
875,91,28,846,33,902
9,221,48,270,5,768
7,738,48,813,29,522
9,430,4,431,3,866
931,491,3,617,5,560
9,46,6,374,11,446
7,569,6,442,4,585
9,276,6,827,16,70
8,586,5,70,4,432
8,222,7,552,36,314
916,909,44,109,3,930
839,280,7,0,48,503
8,260,47,477,14,595
7,822,537,657,34,453
7,989,3,734,29,846
792,811,540,372,6,149
7,651,48,894,2,782
9,486,5,442,640,364
7,696,34,270,5,854
923,665,5,48,4,665
882,143,6,664,33,400
9,143,3,460,4,415
775,342,663,489,1,449
8,686,5,475,11,17
7,803,3,164,427,685
7,776,3,415,21,286
8,272,766,619,23,760
8,814,41,432,3,265
8,569,4,346,5,682
9,375,45,903,5,323
9,383,5,541,4,735
9,435,4,548,6,129
7,611,48,318,10,920
9,23,2,814,4,469
8,643,5,442,4,876
7,709,7,413,6,231
8,337,5,841,49,149
8,942,6,711,3,376
899,13,24,522,40,573
9,35,3,49,41,249
8,767,25,979,5,407
7,644,5,930,3,644
8,64,2,463,255,634
7,959,7,394,30,952
7,724,7,694,39,487
7,601,2,658,8,127
9,137,5,590,14,572
8,0,32,144,10,252
920,459,4,958,5,22
7,552,3,393,2,995
9,397,22,410,5,681
7,989,6,814,27,146
8,516,3,645,24,535
910,453,26,158,47,477
9,468,515,590,4,533
7,510,630,328,5,207
8,348,4,757,3,87
8,491,39,973,5,68
8,203,7,137,42,706
7,587,3,447,2,796
887,333,44,743,7,586
8,378,6,609,32,340
9,445,7,92,561,316
8,170,5,603,28,816
8,794,7,120,4,98
8,937,6,929,22,768
8,72,4,854,28,148
7,732,625,865,3,428
8,342,7,382,41,313
8,734,7,313,5,560
8,263,35,624,23,351
8,688,5,580,6,308
9,498,6,794,38,803
9,99,23,260,3,277
9,78,4,498,17,388
9,161,4,965,47,935
8,630,6,514,18,721
8,879,5,286,5,579
8,520,5,441,5,407
9,273,5,359,22,789
8,614,45,257,12,252
9,280,7,5,5,355
9,455,41,429,14,608
888,126,2,635,36,131
9,480,4,121,18,613
7,759,29,615,35,502
9,433,5,161,29,500
8,789,271,577,13,638
796,533,7,56,43,328
7,707,729,961,2,758
7,561,2,825,5,755
9,376,6,620,5,346
8,953,5,609,3,630
9,459,6,356,6,63
8,336,3,683,5,795
7,953,424,737,1,470
8,56,44,90,16,103
8,929,2,269,36,600
8,112,7,406,2,430
7,938,6,503,456,686
8,16,4,536,46,474
8,800,5,763,3,499
8,481,625,677,9,297
804,260,5,32,22,958
8,61,7,340,6,377
7,535,7,4,5,485
81,887,4,577,17,11
9,467,26,995,11,80
8,536,6,778,13,352
8,22,4,884,3,842
9,50,4,35,37,796
9,460,32,870,3,936
785,153,4,154,5,269
9,467,5,640,21,36
9,349,2,534,4,938
7,658,5,726,33,833
767,484,5,269,3,376
8,898,6,574,3,187
7,919,533,177,6,379
9,44,2,498,41,526
887,677,3,39,16,372
8,984,4,595,23,674
8,957,7,180,3,478
7,805,6,323,21,694
883,151,3,960,3,891
7,676,42,25,451,917
9,231,25,53,28,800
8,971,6,435,390,152
8,442,46,975,19,656
9,241,7,290,25,729
8,731,5,197,37,848
7,845,6,318,3,158
8,843,5,576,5,311
8,497,7,488,27,998
8,659,4,766,1,389
8,431,7,250,6,395
9,68,48,566,15,350
8,890,4,754,2,534
8,699,48,970,11,273
8,774,5,888,13,201
8,309,6,19,5,796
8,296,37,850,30,588
906,647,6,887,535,80
9,278,25,527,23,769
811,467,3,551,43,82
7,827,6,555,32,106
7,867,5,455,4,280
8,773,5,599,5,651
7,565,5,548,36,63
8,973,5,558,3,942
8,247,32,977,43,272
9,444,5,935,1,992
8,344,6,923,1,80
8,578,40,69,31,605
7,837,6,849,5,73
7,704,5,229,15,446
8,817,7,314,6,157
7,508,42,864,2,60
8,562,6,215,43,760
934,520,7,709,20,321
9,264,39,730,14,670
8,775,23,597,10,881
7,782,38,217,5,471
822,273,5,45,5,264
8,804,3,10,22,893
8,233,3,500,2,777
9,391,4,950,6,120
949,156,3,165,3,76
9,318,2,475,33,458
7,681,26,975,5,912
7,695,256,819,24,54
7,676,3,43,3,561
8,64,6,570,11,659
758,591,6,917,5,285
9,463,7,662,2,104
7,847,557,306,5,766
9,263,4,381,8,780
939,94,6,194,40,870
8,495,6,706,6,92
7,963,3,476,25,688
9,472,36,708,7,580
804,59,35,389,1,432
8,266,47,838,48,946
9,210,6,460,4,387
7,720,3,143,5,362
8,190,2,702,36,883
8,297,5,587,12,644
7,968,5,8,19,216
8,613,6,481,30,726
9,155,4,167,1,810
9,259,6,839,2,472
76,168,7,546,13,507
8,138,3,959,10,36
9,319,28,504,17,266
8,421,653,940,31,829
8,763,24,464,5,53
9,60,6,637,2,637
7,816,40,492,3,326
7,916,6,360,22,147
8,364,5,238,48,471
9,237,6,559,21,821
863,944,4,118,4,826
8,765,25,43,5,762
7,707,5,764,12,158
8,729,698,632,1,850
7,579,5,758,6,287
7,836,2,518,5,824
8,740,3,773,41,843
8,589,6,74,5,481
7,919,7,156,5,609
7,965,6,256,5,849
9,124,562,28,13,445
9,462,7,497,4,181
7,638,34,52,4,29
9,311,5,353,4,17
7,798,48,258,4,529
9,27,4,19,4,25
8,621,7,428,5,584
8,290,7,214,4,393
7,593,28,596,429,180
76,568,23,638,1,264
8,101,2,415,11,385
8,939,2,507,6,405
7,717,29,722,3,662
9,14,24,851,46,546
7,563,3,758,5,296
8,480,5,943,2,302
9,461,7,137,5,840
9,317,6,532,13,213
756,26,5,735,10,403
8,666,3,796,4,859
847,763,39,721,8,136
7,922,3,919,15,483
91,259,668,175,36,240
802,788,317,49,16,662
9,386,5,304,11,575
5,864,27,539,39,781
6,296,1,809,5,386
5,641,3,165,5,611
5,723,19,245,5,513
6,365,10,633,12,726
6,713,5,834,23,610
58,507,5,488,45,755
536,720,7,309,16,75
5,312,41,325,18,127
6,465,9,369,17,127
684,420,20,845,2,565
6,188,3,235,25,453
5,934,9,474,4,55
543,233,75,926,5,240
5,640,10,780,4,700
5,679,1,276,47,495
6,179,23,535,25,436
5,895,17,458,31,541
5,688,2,724,6,740
5,963,5,605,6,424
5,999,6,219,5,428
5,651,12,967,5,711
5,788,14,72,34,240
5,819,23,268,5,636
5,647,16,123,25,968
49,997,1,629,552,688
6,94,17,235,9,748
6,481,2,54,44,97
691,181,24,128,2,177
6,533,28,712,5,421
5,599,12,229,6,760
5,866,1,896,3,456
5,387,3,210,24,226
5,692,13,978,3,36
6,531,15,294,7,455
6,471,8,313,4,833
6,927,9,567,8,175
5,98,32,952,3,362
5,200,2,510,18,335
695,526,280,170,3,655
6,32,26,260,537,619
5,922,8,506,24,110
6,573,2,95,24,459
6,876,16,909,13,256
5,456,6,434,5,581
5,981,10,215,4,691
6,610,22,897,4,831
5,448,4,855,1,868
5,129,30,457,9,265
6,124,41,373,31,750
591,145,984,977,475,568
6,455,24,256,5,214
6,222,11,48,40,737
5,828,7,82,3,35
5,83,2,659,49,171
5,440,29,394,5,457
5,751,2,450,4,415
6,516,3,2,208,700
5,458,21,492,33,591
5,663,2,575,3,794
646,658,3,262,2,800
6,328,22,302,11,198
5,18,18,928,3,610
5,359,8,271,34,666
5,845,22,36,31,844
6,295,19,543,27,542
6,664,21,240,4,528
6,846,1,208,13,446
5,220,6,699,39,705
5,350,18,800,34,63
6,462,823,453,16,156
5,379,11,146,2,886
6,377,8,850,28,854
6,443,30,919,31,832
570,773,3,667,1,835
629,872,5,329,38,742
517,239,2,772,259,673
5,687,18,18,27,143
6,196,28,761,157,654
6,733,2,847,2,399
5,784,30,308,17,726
5,809,26,513,3,450
5,319,21,899,3,3
6,421,13,799,2,878
671,14,32,355,3,457
5,132,3,215,18,721
5,644,5,543,3,435
6,875,20,553,50,34
5,221,571,446,4,647
5,421,2,219,3,790
634,607,327,657,393,877
5,271,41,146,5,180
5,45,6,847,5,520
696,406,26,551,4,330
5,993,23,655,1,528
6,401,10,374,2,485
5,369,12,281,5,630
5,99,23,763,2,852
6,384,29,942,4,436
5,885,2,929,4,47
6,590,5,45,1,369
6,485,23,605,5,41
564,324,31,370,5,467
6,769,579,403,17,892
5,220,22,563,34,774
5,278,10,958,54,123
6,41,2,842,27,243
6,382,23,629,8,478
6,9,9,336,20,138
6,744,26,870,30,564
6,52,4,554,4,886
6,360,17,258,30,830
5,917,1,602,44,844
6,855,9,191,14,38
6,552,26,83,45,432
6,958,1,735,13,789
5,586,24,698,29,542
5,223,12,826,35,838
5,632,29,828,4,111
5,476,1,366,17,669
6,643,13,473,38,62
6,839,17,469,3,728
6,424,55,125,2,193
5,73,30,958,3,292
5,74,18,469,3,295
6,354,52,702,32,472
6,126,23,623,36,941
6,766,6,819,3,774
5,828,9,567,3,586
5,715,11,759,3,494
5,159,13,695,11,357
5,891,22,664,4,235
5,433,2,916,9,114
6,401,15,828,2,232
6,826,18,815,44,53
614,825,21,371,5,71
5,255,7,484,17,650
6,183,26,782,13,789
6,125,1,976,45,935
6,664,28,545,6,580
5,741,2,171,11,45
6,1,2,821,1,735
6,642,5,640,35,635
5,767,2,476,3,956
504,990,5,154,4,936
6,845,26,517,28,67
5,574,3,111,5,94
677,254,2,308,10,354
6,974,25,293,5,205
6,223,5,38,326,377
5,339,29,603,35,487
6,111,22,700,44,916
533,398,11,788,2,379
5,32,17,184,4,279
687,671,20,926,24,548
5,337,62,305,2,516
6,907,3,312,3,334
6,272,13,452,23,837
5,722,30,360,4,732
541,462,23,489,5,181
5,221,18,827,35,522
6,780,12,29,36,954
5,757,18,370,21,906
5,813,21,854,10,708
6,62,18,979,7,174
662,781,22,5,1,717
6,416,1,848,41,104
5,589,6,32,2,716
5,484,2,116,24,395
6,4,8,392,17,772
5,124,2,445,20,205
6,847,30,557,18,969
6,448,11,990,39,949
6,243,3,132,5,636
5,485,25,865,5,227
631,965,6,45,407,716
5,483,1,827,3,587
5,625,112,685,42,305
5,654,22,397,8,23
523,672,21,708,4,398
6,504,7,773,8,268
5,490,7,225,567,192
5,782,2,771,353,350
560,58,2,323,40,723
6,577,41,451,491,859
62,975,31,252,418,894
6,200,17,243,3,623
6,978,304,112,2,914
6,737,2,883,8,800
5,80,3,439,10,462
666,520,18,427,3,785
5,918,3,306,2,824
5,517,9,687,23,471
5,666,15,747,3,528
6,993,1,673,328,686
6,755,25,223,42,532
5,132,6,98,1,81
6,431,13,500,36,981
6,813,10,629,17,213
6,830,10,803,3,54
5,769,29,708,9,69
6,234,719,91,5,657
5,817,25,839,20,189
6,130,1,180,10,332
4,999,515,946,3,323
6,797,15,250,5,392
6,201,8,337,2,619
6,568,33,39,19,513
5,194,1,447,5,406
6,26,1,616,5,827
5,292,853,647,2,387
593,508,33,276,5,25
5,516,11,432,30,853
6,128,28,588,42,975
5,337,3,432,7,683
5,54,1,963,5,698
5,217,3,18,19,673
6,755,22,87,5,139
6,351,5,92,1,634
5,160,26,763,7,4
5,835,43,296,7,273
5,389,17,375,31,323
6,281,16,930,22,493
5,638,28,403,44,927
6,971,20,332,32,899
6,404,1,309,27,440
5,348,11,536,4,254
6,408,12,643,5,545
5,740,25,640,31,994
5,67,28,877,1,134
5,102,21,780,1,405
6,40,2,710,43,243
6,258,12,483,21,260
5,509,765,841,1,718
595,482,18,424,2,940
5,206,1,104,5,103
5,68,19,464,3,530
5,23,9,856,64,809
6,730,6,30,2,768
5,963,13,121,12,816
6,987,4,612,5,615
6,665,15,463,23,503
507,384,2,743,9,267
5,503,23,299,31,873
6,78,3,166,17,140
5,495,241,995,4,468
5,490,15,429,5,186
6,382,2,686,18,82
6,492,5,552,5,694
6,220,21,883,48,288
668,300,28,374,16,535
5,795,51,425,1,642
6,307,0,0,38,102
5,536,54,47,4,976
6,218,31,101,2,607
5,260,303,793,4,471
5,321,2,452,9,234
6,409,3,289,87,87
5,29,2,117,10,741
5,335,7,124,13,192
6,196,22,888,5,240
5,339,25,679,9,958
6,120,21,378,4,122
6,527,12,74,3,749
5,469,4,726,3,27
5,303,2,884,508,984
5,932,10,137,15,197
6,806,2,333,1,634
6,194,23,710,2,148
5,249,7,108,4,391
6,331,25,734,7,273
6,61,26,842,17,409
624,87,23,784,31,404
5,918,2,508,33,567
5,235,56,237,30,509
6,23,18,636,3,652
5,547,1,23,2,705
6,549,2,899,2,477
5,250,2,886,39,876
690,282,20,830,38,625
6,7,27,404,4,637
5,354,29,369,13,304
6,919,10,702,4,51
6,254,1,682,19,49
5,271,324,582,5,555
5,317,9,548,20,316
6,150,27,93,37,103
6,543,3,69,8,127
5,297,19,443,10,134
6,775,21,184,3,819
6,534,21,700,222,289
5,184,2,105,14,988
6,211,21,620,3,868
6,519,11,834,14,326
5,437,2,623,12,613
5,866,5,726,11,991
6,435,1,641,2,26
6,212,92,634,23,541
6,314,26,421,30,124
6,973,18,412,5,621
5,400,29,803,1,408
5,713,28,991,4,846
6,492,2,530,6,772
6,641,25,926,27,240
5,0,28,948,4,3
5,697,2,686,30,552
6,616,1,764,5,294
570,127,9,754,11,671
6,372,25,754,4,762
5,984,24,854,8,112
5,862,25,930,2,519
6,504,3,124,4,55
5,924,4,433,2,44
6,334,1,889,10,528
6,91,28,691,4,785
6,928,12,578,24,731
5,527,14,672,8,807
